일자,시가,고가,저가,현재가,거래량
2019-04-29,282,286.79,281.81,286.79,"66,981"
2019-04-26,280.86,282.47,279.7,281.34,"76,724"
2019-04-25,282.8,284.22,281.9,282.83,"74,577"
2019-04-24,287.82,287.82,281.96,283.7,"88,608"
2019-04-23,285.85,286.83,285.42,286.47,"67,375"
2019-04-22,286.06,287.59,284.52,285.87,"55,190"
2019-04-19,287.18,287.48,285.72,285.89,"63,866"
2019-04-18,290.88,291.15,285.38,285.82,"89,653"
2019-04-17,290.68,291.21,289.84,290.33,"72,665"
2019-04-16,289.18,290.76,288.77,290.62,"96,134"
2019-04-15,289.54,290.74,289.12,289.38,"80,433"
2019-04-12,286.89,288.62,285.83,288.37,"69,060"
2019-04-11,288.33,288.71,286.38,287.42,"84,683"
2019-04-10,285.44,288.01,285.1,287.92,"75,078"
2019-04-09,286.51,288.02,285.38,286.71,"66,225"
2019-04-08,287.78,287.83,285.09,286.38,"64,574"
2019-04-05,286.03,287.53,285.93,286.68,"64,885"
2019-04-04,285.29,287.75,284.97,286.15,"73,802"
2019-04-03,281.88,285.65,281.22,285.65,"91,589"
2019-04-02,281.67,282.47,281,281.72,"72,184"
2019-04-01,278.41,280.93,278.41,280.32,"76,673"
2019-03-29,276.33,277.01,274.32,276.48,"82,279"
2019-03-28,275.02,276.2,273.9,275.08,"66,916"
2019-03-27,277.01,278.16,274.87,277.28,"67,774"
2019-03-26,278.43,278.49,276.91,277.6,"65,750"
2019-03-25,279.12,279.21,277.19,277.45,"77,320"
2019-03-22,283.92,284.55,282.09,283.13,"117,733"
2019-03-21,281.14,284.39,280.63,282.38,"97,092"
2019-03-20,278.84,280.07,276.34,279.92,"61,168"
2019-03-19,280.3,280.4,278.63,279.82,"55,394"
2019-03-18,280.27,280.77,278.92,279.93,"60,901"
2019-03-15,276.42,280.5,276.31,279.87,"123,126"
2019-03-14,276.79,277.4,274.78,276.64,"95,821"
2019-03-13,276.92,277.12,274.04,276,"61,494"
2019-03-12,277.41,278.48,276.94,277.73,"63,959"
2019-03-11,275.5,276.28,273.88,275.06,"64,827"
2019-03-08,277.18,278,274.84,274.84,"71,640"
2019-03-07,279.33,280.98,277.44,278.87,"78,636"
2019-03-06,280.09,280.26,278.72,279.85,"75,225"
2019-03-05,281.42,281.89,279.53,280.45,"78,805"
2019-03-04,286.12,286.68,282.16,282.51,"107,549"
2019-02-28,288.13,288.62,283.8,283.8,"129,089"
2019-02-27,288.9,289.41,288.09,288.76,"72,744"
2019-02-26,288.52,289.2,287.06,287.89,"81,326"
2019-02-25,290.19,290.32,287.84,289,"73,419"
2019-02-22,287.29,288.74,286.54,288.74,"70,343"
2019-02-21,287.43,289.28,286.05,288.41,"88,241"
2019-02-20,286.55,289.22,286.21,288.4,"88,582"
2019-02-19,285.36,286.12,283.16,284.91,"62,750"
2019-02-18,285.6,287.02,284.64,285.9,"73,482"
2019-02-15,286.42,286.42,282.81,283.98,"77,187"
2019-02-14,284.25,288.68,282.91,288.68,"112,394"
2019-02-13,285.09,285.59,284.13,284.97,"93,292"
2019-02-12,282.12,284.32,281.43,283.69,"92,106"
2019-02-11,281.75,282.19,280.02,282.1,"79,973"
2019-02-08,283.85,284.01,280.95,281.49,"88,711"
2019-02-07,287.54,287.67,284.97,285.65,"100,691"
2019-02-01,287.07,288.34,285.43,285.79,"114,631"
2019-01-31,288.85,288.87,285.89,285.89,"153,503"
2019-01-30,282.86,286.63,282.24,286.62,"134,732"
2019-01-29,281.12,283,279.65,283,"130,944"
2019-01-28,282.56,283.46,280.47,281.64,"95,967"
2019-01-25,277.3,281.72,277.04,281.67,"115,510"
2019-01-24,274.1,276.64,273.74,276.61,"132,858"
2019-01-23,271.35,274.51,271.03,273.87,"99,955"
2019-01-22,274.08,274.6,271.45,272.71,"68,867"
2019-01-21,274.99,275.14,272.29,274,"86,547"
2019-01-18,273.02,273.95,272.56,273.88,"78,967"
2019-01-17,271.66,273.05,270.81,271.88,"86,748"
2019-01-16,269.96,271.28,269.05,271.23,"100,498"
2019-01-15,265.62,270.02,265.37,269.93,"87,169"
2019-01-14,266.22,266.7,264.23,264.99,"74,929"
2019-01-11,266.58,267.58,265.56,267.13,"81,083"
2019-01-10,265.73,266.85,264.61,265.55,"99,826"
2019-01-09,260.95,266.05,260.87,265.6,"98,746"
2019-01-08,261.29,262.43,259.39,259.65,"86,910"
2019-01-07,261.11,263.13,260.76,261.57,"92,321"
2019-01-04,255.62,258.12,254.55,257.89,"91,200"
2019-01-03,258.19,258.7,255.35,255.77,"90,520"
2019-01-02,263.35,263.77,257.47,258.23,"69,949"
2018-12-28,261.61,262.85,261.27,261.98,"62,700"
2018-12-27,261.53,261.71,259.73,260.57,"84,457"
2018-12-26,261.09,262.49,259.35,260.98,"92,492"
2018-12-24,263.51,265.09,262.96,264.45,"61,962"
2018-12-21,263.66,265.06,263.15,265.06,"92,599"
2018-12-20,265.13,266.34,263.12,264.81,"81,335"
2018-12-19,266.02,267.55,265.26,267.31,"81,750"
2018-12-18,264.42,266.83,263.93,265.18,"90,334"
2018-12-17,265.81,267.19,265.41,266.33,"71,454"
2018-12-14,269.69,269.69,264.44,265.55,"99,732"
2018-12-13,269.07,271.06,268.22,269.41,"145,056"
2018-12-12,266,268.84,265.55,268.47,"83,687"
2018-12-11,265.87,265.99,263.87,264.69,"70,035"
2018-12-10,264.55,266.2,263.63,265.35,"77,296"
2018-12-07,268.97,269.66,267.03,268.28,"68,450"
2018-12-06,270.18,270.18,266.61,267.18,"86,092"
2018-12-05,269.53,272.38,269.47,271.49,"75,635"
2018-12-04,275.08,275.72,272.03,273.29,"80,802"
2018-12-03,275.7,276.98,273.59,276.18,"89,066"
2018-11-30,274.53,275.51,270.88,271.35,"137,531"
2018-11-29,277.08,277.54,273.4,274.16,"80,652"
2018-11-28,272.64,273.53,271.35,273.45,"79,830"
2018-11-27,270.9,272.47,269.27,272.08,"71,912"
2018-11-26,266.43,269.95,266.41,269.79,"75,646"
2018-11-23,268.12,268.54,264.86,266.33,"58,346"
2018-11-22,268.51,269.11,267.15,267.76,"64,407"
2018-11-21,265.96,268.49,264.95,268.27,"81,838"
2018-11-20,268.54,270.58,268.54,269.58,"80,899"
2018-11-19,272.01,274.05,270.83,272.31,"75,006"
2018-11-16,272.95,273.52,271.06,271.65,"74,598"
2018-11-15,267.93,271.69,267.68,271.54,"74,356"
2018-11-14,269.58,270.01,267.75,268.88,"87,327"
2018-11-13,267.03,269.89,264.63,269.7,"88,279"
2018-11-12,268.66,272.27,268.64,271.57,"78,003"
2018-11-09,272.25,273.57,270.85,271.33,"80,922"
2018-11-08,274.88,276.34,272.07,272.11,"99,215"
2018-11-07,271.43,273.79,269.77,270.45,"119,321"
2018-11-06,271.01,272.01,268.57,271.57,"77,834"
2018-11-05,270.22,270.45,266.67,270.07,"81,490"
2018-11-02,266.16,272.79,265.82,272.56,"111,230"
2018-11-01,264.72,266.97,262.77,262.95,"102,278"
2018-10-31,263.55,264.14,261.03,264.01,"107,853"
2018-10-30,259.15,264.74,259.06,262.47,"122,394"
2018-10-29,262.82,265.29,259.84,260.19,"109,741"
2018-10-26,267.04,267.04,260.16,262.69,"111,377"
2018-10-25,264.46,267.09,262.97,266.72,"120,406"
2018-10-24,274.07,274.24,270.64,271.36,"99,127"
2018-10-23,277.31,277.57,270.72,272.54,"88,689"
2018-10-22,276.78,279.89,275.99,279.4,"62,448"
2018-10-19,275.08,279.03,273.81,278.63,"74,645"
2018-10-18,278.73,280.01,277.3,277.48,"68,805"
2018-10-17,280.07,281.99,279.1,280.05,"75,387"
2018-10-16,278.73,279.52,276.22,276.9,"60,611"
2018-10-15,278.35,278.91,276.49,277.19,"73,193"
2018-10-12,275.82,281.26,275.43,279.37,"101,671"
2018-10-11,281.52,282.65,275.15,275.15,"144,521"
2018-10-10,290.23,290.37,286.92,287.85,"117,740"
2018-10-08,290.02,292.29,289.91,289.91,"69,771"
2018-10-05,291.42,292.66,289.33,291.28,"93,624"
2018-10-04,296.42,296.42,291.26,291.78,"107,326"
2018-10-02,300.2,300.93,296.36,296.53,"86,569"
2018-10-01,301.55,301.97,299.3,300.17,"77,258"
2018-09-28,302.53,302.64,299.83,300.51,"111,432"
2018-09-27,299.54,302.6,299.54,302.59,"120,499"
2018-09-21,299.84,300.81,298.9,300.81,"124,341"
2018-09-20,297.47,300.45,297.12,299.04,"97,943"
2018-09-19,297.63,297.72,295.5,296.64,"94,195"
2018-09-18,293.06,296.51,293.03,296.1,"77,064"
2018-09-17,296.7,296.74,294.14,295.23,"64,924"
2018-09-14,295.19,297.38,295.04,297.29,"83,088"
2018-09-13,292.5,293.42,291.78,292.42,"98,537"
2018-09-12,292.74,293.29,290.89,292.35,"87,628"
2018-09-11,293.42,294.75,291.49,292.46,"83,406"
2018-09-10,292.37,294.06,292.25,293.7,"84,203"
2018-09-07,292.26,293.79,290.69,292.86,"90,385"
2018-09-06,294.23,295.82,293.62,294.28,"79,880"
2018-09-05,297.89,298.4,294.37,294.96,"81,061"
2018-09-04,297.72,299.2,296.86,298.8,"64,654"
2018-09-03,299.15,299.28,296.85,297.49,"64,698"
2018-08-31,296.49,300.07,296.09,300.07,"107,570"
2018-08-30,298.44,299.99,297.37,298.05,"80,675"
2018-08-29,297.31,298.23,296.63,298.05,"81,223"
2018-08-28,298.67,298.95,296.6,297.22,"84,392"
2018-08-27,296.21,297.34,295.3,296.83,"85,300"
2018-08-24,293.26,295.91,292.53,295.54,"70,163"
2018-08-23,294.21,294.37,292.39,294.29,"73,747"
2018-08-22,292.45,293.83,291.93,293,"81,675"
2018-08-21,288.51,292.41,287.94,291.93,"79,695"
2018-08-20,289.78,290.93,288.15,288.61,"74,149"
2018-08-17,288.57,289.35,287.78,288.57,"67,286"
2018-08-16,287.1,289.05,285.42,288.24,"93,688"
2018-08-14,290.03,291.64,289.61,291.08,"75,903"
2018-08-13,291.21,292.09,288.11,289.85,"94,718"
2018-08-10,295.93,296.1,293.05,293.64,"94,304"
2018-08-09,297.23,297.41,295.61,297.41,"87,043"
2018-08-08,297.97,298.46,296.78,297.19,"76,314"
2018-08-07,295.79,297.38,294.37,297.18,"70,324"
2018-08-06,295.79,297.37,294.78,295.24,"70,148"
2018-08-03,294.45,295.85,293.59,295.61,"63,188"
2018-08-02,298.25,298.54,292.89,293.55,"75,898"
2018-08-01,298.32,299.96,298.06,298.69,"70,926"
2018-07-31,297.01,297.79,296.14,297.45,"71,873"
2018-07-30,297.01,298,295.99,297.29,"66,415"
2018-07-27,297.29,297.88,296.21,297.78,"71,327"
2018-07-26,296.2,298.22,295.11,296.95,"93,045"
2018-07-25,295.99,297.17,294.29,294.85,"85,722"
2018-07-24,294.92,296.05,293.28,295.49,"99,972"
2018-07-23,296.81,296.81,293.8,294.56,"87,894"
2018-07-20,295.78,297.52,294.05,296.95,"76,112"
2018-07-19,297.71,297.94,295.52,295.9,"85,404"
2018-07-18,299.2,300.24,296.08,296.47,"78,882"
2018-07-17,297.46,298.15,295.74,296.88,"77,991"
2018-07-16,298.71,299.56,297.06,297.37,"69,363"
2018-07-13,295.88,298.99,295.86,298.65,"88,560"
2018-07-12,294.94,296.63,293.77,294.41,"94,349"
2018-07-11,293.8,295.27,291.77,294.43,"102,397"
2018-07-10,297.14,297.99,295.84,296.19,"74,327"
2018-07-09,293.88,296.63,292.58,295.2,"80,243"
2018-07-06,292.04,294.73,290.09,293.11,"100,948"
2018-07-05,292.12,293.6,289.9,291.63,"64,860"
2018-07-04,293.54,294.63,291.87,292.26,"67,009"
2018-07-03,294.89,295.06,290.89,293.35,"88,702"
2018-07-02,299.12,300.04,292.93,292.93,"93,227"
2018-06-29,299.37,300.28,295.97,299.66,"91,792"
2018-06-28,299.91,300.83,297.72,298.26,"88,459"
2018-06-27,302.73,304.29,301.92,302.25,"100,170"
2018-06-26,300.3,303.83,299.5,302.76,"95,031"
2018-06-25,302.77,303.99,300.69,303.37,"83,138"
2018-06-22,298.81,303.72,298.71,303.69,"92,739"
2018-06-21,304.06,305.04,301.02,301.02,"101,197"
2018-06-20,302.95,305.69,301.83,304.02,"104,269"
2018-06-19,304.92,305.79,300.74,301.35,"117,682"
2018-06-18,308.73,308.95,303.77,305.35,"121,133"
2018-06-15,312.43,312.55,308.71,308.73,"127,404"
2018-06-14,314.6,314.82,311.03,311.2,"147,740"
2018-06-12,317.81,318.3,316.21,316.84,"122,232"
2018-06-11,315.24,317.35,314.24,317.22,"103,064"
2018-06-08,316.94,317.25,314.53,314.97,"103,097"
2018-06-07,317.94,319.19,317.03,317.67,"108,023"
2018-06-05,315.12,316.07,312.83,315.76,"105,957"
2018-06-04,313.7,315.46,313.26,314.84,"104,433"
2018-06-01,310.13,314.14,309.87,313.22,"120,951"
2018-05-31,312.01,312.26,309.84,310.92,"228,470"
2018-05-30,314.64,315.2,308.07,309.26,"135,723"
2018-05-29,318.7,319.4,316.18,316.2,"117,359"
2018-05-28,318.37,319.99,318.04,318.99,"147,738"
2018-05-25,315.92,318.88,315.43,318.05,"130,285"
2018-05-24,318.93,319.46,316.55,317.48,"83,136"
2018-05-23,316.45,319.04,316.01,318.31,"122,345"
2018-05-21,315.74,317.19,313.45,316.25,"96,767"
2018-05-18,315.5,315.8,314.46,315.37,"83,885"
2018-05-17,317.33,317.77,314.29,314.29,"107,625"
2018-05-16,313.81,316.62,313.78,315.97,"129,023"
2018-05-15,317.73,318.35,314.57,314.94,"128,386"
2018-05-14,318.93,319.5,317.09,317.72,"141,538"
2018-05-11,318.03,319.7,317.86,318.51,"112,400"
2018-05-10,316.51,317.34,315.11,317.31,"120,900"
2018-05-09,315.93,316.08,312.6,314.42,"123,610"
2018-05-08,317.79,319.53,314.95,315.87,"141,252"
2018-05-04,320.56,321,316.75,316.75,"173,911"
